bus_10003,bus_10006,bus_13003,bus_13012,bus_13022,bus_13026,bus_20003,bus_20007,bus_20012,bus_21004
164.07875341972252,185.4885215117197,149.30562278592583,149.0005139826323,179.30847588290422,185.4382312235313,145.28871882927507,144.78871597557858,139.65057541845468,85.89180710102475
180.01572372266568,192.74426075585987,154.205631231968,158.68988172681858,189.65423794145212,192.71911561176563,140.11005932741753,144.3377553491294,139.3113931078187,87.08665135845926
195.95269402560888,200.0,159.10563967801014,168.3792494710049,200.0,200.0,134.93139982555996,143.8867947226802,138.9722107971827,88.28149561589377
197.30179601707258,200.0,164.51798949971746,175.49177658823274,200.0,200.0,137.97646591813265,149.66446355087209,137.80974448596635,88.76891127258891
198.6508980085363,200.0,169.9303393214248,182.6043037054606,200.0,200.0,141.02153201070536,155.44213237906396,136.64727817475,89.25632692928403
200.0,200.0,175.34268914313213,189.71683082268845,200.0,200.0,144.06659810327804,161.21980120725584,135.48481186353365,89.74374258597916
200.0,200.0,176.56093871847582,189.64808038355866,200.0,200.0,149.20010315020747,164.66378188607013,139.490697525311,90.03394463860667
200.0,200.0,177.7791882938195,189.57932994442888,200.0,200.0,154.3336081971369,168.10776256488438,143.49658318708836,90.32414669123418
200.0,200.0,178.99743786916318,189.5105795052991,200.0,200.0,159.46711324406633,171.55174324369867,147.5024688488657,90.61434874386168
197.84073041164692,200.0,176.2041512118357,186.0312749341431,198.28686812011992,200.0,160.4747056734202,170.6491914001027,151.47346315471816,91.94809602974597
195.6814608232938,200.0,173.41086455450818,182.5519703629871,196.5737362402398,200.0,161.48229810277408,169.7466395565067,155.44445746057062,93.28184331563025
193.52219123494072,200.0,170.6175778971807,179.07266579183113,194.86060436035973,200.0,162.48989053212796,168.84408771291072,159.41545176642308,94.61559060151454
190.41610448682508,198.96376630828001,167.29277849700426,175.90014454160467,190.05852133687802,199.78514972125885,160.92624334494775,166.6130375665798,159.86677485595925,97.00774673698741
187.31001773870946,197.92753261656,163.96797909682783,172.7276232913782,185.25643831339633,199.57029944251772,159.3625961577675,164.3819874202489,160.3180979454954,99.3999028724603
184.20393099059382,196.89129892484002,160.6431796966514,169.55510204115174,180.45435528991462,199.35544916377657,157.7989489705873,162.15093727391798,160.76942103503157,101.79205900793318
179.9287201839635,193.7442060121044,157.66008247243158,166.22520135656194,175.9487187497537,195.67558442865473,155.64655090407476,159.8435641092862,159.17646827936667,103.25564271641953
175.6535093773332,190.5971130993688,154.6769852482118,162.89530067197214,171.44308220959283,191.9957196935329,153.4941528375622,157.5361909446544,157.58351552370175,104.7192264249059
171.37829857070287,187.4500201866332,151.69388802399197,159.56539998738234,166.93744566943192,188.31585495841105,151.34175477104966,155.22881778002264,155.99056276803685,106.18281013339225
168.51818673884054,186.62423725267615,149.22746326066928,156.68084654621507,164.32746157211875,187.58130742132545,149.31182089480566,153.0991891677389,153.94755327632112,106.1041610925771
165.65807490697821,185.79845431871914,146.76103849734656,153.7962931050478,161.71747747480558,186.84675988423984,147.28188701856163,150.96956055545516,151.90454378460535,106.02551205176194
162.7979630751159,184.9726713847621,144.29461373402387,150.91173966388052,159.1074933774924,186.11221234715424,145.25195314231763,148.83993194317142,149.86153429288962,105.94686301094679
159.89163469841375,180.00393949769875,141.97210232422574,148.30343112810945,155.50940361774744,181.7885757622454,143.02384392576406,146.65456354136407,147.79251331860723,104.79470861150321
156.9853063217116,175.03520761063538,139.6495909144276,145.69512259233835,151.91131385800244,177.4649391773365,140.79573470921045,144.46919513955675,145.72349234432488,103.64255421205962
