Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
775.4999999,361.8837448,707.9717505,1016.823704,138.1864197,469.5319215,0,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1603.946363,2508.94584,158.96,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,361.8837448,707.9717505,1297.654663,267.5864197,469.5319215,0,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1603.946363,2980.82584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,361.8837448,707.9717505,1297.654663,267.5864197,469.5319215,0,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1603.946363,3452.70584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,361.8837448,489.1845997,1026.536289,267.5864197,469.5319215,806,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1603.946363,3688.64584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,361.8837448,537.5816587,1336.636891,267.5864197,469.5319215,806,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1603.946363,3452.70584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,361.8837448,537.5816587,1204.70318,267.5864197,469.5319215,806,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1603.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,361.8837448,537.5816587,1204.70318,267.5864197,469.5319215,806,0,0,0,0,0,0,0,0,0,844.9058823,0,0,377.65,1603.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,361.8837448,537.5816587,1204.70318,267.5864197,492.9152813,806,0,0,0,0,0,0,0,0,0,909.6058823,0,0,377.65,1603.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,140.8837448,208.4816587,736.7331803,267.5864197,492.9152813,0,0,0,0,0,0,0,0,0,0,909.6058823,0,0,377.65,1603.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,140.8837448,270.9922732,736.7331803,267.5864197,492.9152813,0,0,0,0,0,0,0,0,0,0,974.3058823,0,0,377.65,1738.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
775.4999999,140.8837448,142.3440914,744.9431805,267.5864197,492.9152813,0,0,0,0,0,0,0,0,0,0,909.6058823,0,0,377.65,1738.946363,3216.76584,158.96,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,142.3440914,744.9431805,267.5864197,492.9152813,0,0,0,0,0,0,0,0,0,0,844.9058823,0,0,377.65,1738.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
